date_afran,close_afran,date_yaghoot,close_yaghoot,date_goldMofid,close_goldMofid,date_nahal,close_nahal,date_sahar,close_sahar,date_agas,close_agas,date_sarv,close_sarv,date_atlas,close_atlas
20220227,15613,20220227,14255,20220227,30328.67,20220227,14951.19,20220227,14598.6,20220227,70523.29,20220227,5866.92,20220227,22114
20220228,15622,20220228,14261,20220228,30447.55,20220228,15283.7,20220228,15347.14,20220228,70849.21,20220228,5898.78,20220228,22239.43
20220302,15638,20220302,14273,20220302,30720.89,20220302,15386.62,20220302,15307.22,20220302,70899.5,20220302,5897.87,20220302,22270.94
20220305,15663,20220305,14292,20220305,30220.96,20220305,14934.37,20220305,14859.09,20220305,72052.29,20220305,6004.36,20220305,22566.13
20220306,15671,20220306,14297,20220306,30021.81,20220306,15132.29,20220306,14983.85,20220306,74602.31,20220306,6193.67,20220306,22938.65
20220307,15680,20220307,14304,20220307,30485.15,20220307,15462.83,20220307,15045.73,20220307,75847.64,20220307,6268.3,20220307,23370.3
20220308,15689,20220308,14309,20220308,31086.68,20220308,15426.21,20220308,14980.86,20220308,75255.15,20220308,6225.53,20220308,23203.02
20220309,15699,20220309,14316,20220309,31094.81,20220309,15539.03,20220309,14913.99,20220309,76304.33,20220309,6315.63,20220309,23421.48
20220312,15726,20220312,14335,20220312,31246.21,20220312,15474.7,20220312,14900.01,20220312,74634.5,20220312,6155.44,20220312,23082.46
20220313,15736,20220313,14346,20220313,31753.25,20220313,15724.09,20220313,15025.77,20220313,74525.86,20220313,6151.8,20220313,23147.96
20220314,15746,20220314,14352,20220314,31512.43,20220314,16114,20220314,15231.37,20220314,74321.66,20220314,6139.97,20220314,23163.47
20220315,15756,20220315,14354,20220315,31607.94,20220315,15955.66,20220315,15351.14,20220315,74369.94,20220315,6146.34,20220315,23520.38
20220316,15765,20220316,14364,20220316,31375.26,20220316,15708.25,20220316,15356.13,20220316,75489.53,20220316,6267.39,20220316,23560.53
20220319,15798,20220319,14417,20220319,31018.6,20220319,15543.97,20220319,15361.12,20220319,77961.09,20220319,6439.41,20220319,23844.09
20220326,15857,20220326,14433,20220326,31148.67,20220326,15732,20220326,15365.11,20220326,79729.5,20220326,6510.41,20220326,24163.24
20220327,15866,20220327,14445,20220327,31301.08,20220327,15529.13,20220327,15277.28,20220327,80787.73,20220327,6595.05,20220327,24456.34
20220328,15874,20220328,14450,20220328,31520.56,20220328,15652.83,20220328,15269.3,20220328,80787.73,20220328,6690.62,20220328,24456.34
20220329,15883,20220329,14460,20220329,31721.75,20220329,15467.77,20220329,15241.35,20220329,80759.57,20220329,6600.51,20220329,24737.81
20220330,15895,20220330,14465,20220330,31978.82,20220330,15474.7,20220330,15258.32,20220330,80410.51,20220330,6625.09,20220330,24978.64
20220403,15930,20220403,14492,20220403,31891.44,20220403,16565.26,20220403,16044.79,20220403,82703.01,20220403,6833.52,20220403,25669
20220404,15938,20220404,14499,20220404,31981.87,20220404,18110.06,20220404,17163.61,20220404,82912.24,20220404,6831.7,20220404,25464.95
20220405,15946,20220405,14508,20220405,32503.13,20220405,18677.11,20220405,17832.31,20220405,82991.71,20220405,6821.68,20220405,25467.54
20220406,15956,20220406,14516,20220406,32425.91,20220406,18656.33,20220406,17096.74,20220406,81599.51,20220406,6709.73,20220406,25634.02
20220409,15982,20220409,14534,20220409,33008.14,20220409,18486.12,20220409,16826.27,20220409,80577.49,20220409,6636.92,20220409,25447.36
20220410,15993,20220410,14548,20220410,33541.59,20220410,17962.61,20220410,16714.48,20220410,82342.89,20220410,6816.22,20220410,25881.8
20220411,16001,20220411,14555,20220411,34097.4,20220411,18203.09,20220411,16990.95,20220411,82664.79,20220411,6818.04,20220411,26114.97
20220412,16009,20220412,14554,20220412,33955.15,20220412,17842.86,20220412,16676.56,20220412,79757.67,20220412,6588.68,20220412,25321.04
20220413,16020,20220413,14562,20220413,33218.47,20220413,18436.64,20220413,16987.95,20220413,80511.1,20220413,6670.6,20220413,25619.21
20220416,16047,20220416,14583,20220416,33674.7,20220416,18479.19,20220416,17073.79,20220416,81379.21,20220416,6740.68,20220416,26111.39
20220417,16058,20220417,14597,20220417,34170.56,20220417,18563.31,20220417,17014.9,20220417,81980.76,20220417,6791.65,20220417,26351.52
20220418,16066,20220418,14596,20220418,34269.12,20220418,18430.7,20220418,16956.01,20220418,83955.39,20220418,6964.58,20220418,26897.87
20220419,16077,20220419,14604,20220419,33832.2,20220419,18489.09,20220419,16940.05,20220419,84559.95,20220419,7040.12,20220419,27120.01
20220420,16086,20220420,14611,20220420,33753.96,20220420,18418.82,20220420,17053.82,20220420,84192.78,20220420,7009.18,20220420,27018.63
20220424,16122,20220424,14638,20220424,33574.11,20220424,18369.34,20220424,17182.57,20220424,83162.72,20220424,6912.7,20220424,26847.48
20220425,16133,20220425,14650,20220425,33352.6,20220425,18654.35,20220425,17295.35,20220425,83531.89,20220425,6893.59,20220425,26913.57
20220426,16144,20220426,14660,20220426,33473.51,20220426,18801.81,20220426,17998.99,20220426,83932.25,20220426,6945.47,20220426,27043.67
20220427,16155,20220427,14659,20220427,33682.83,20220427,18879,20220427,18308.38,20220427,83655.62,20220427,6904.51,20220427,26913.67
20220430,16180,20220430,14683,20220430,33689.94,20220430,19208.54,20220430,18727.57,20220430,84230,20220430,6903.6,20220430,26872.92
20220501,16191,20220501,14694,20220501,33671.65,20220501,19145.2,20220501,18662.69,20220501,84293.38,20220501,6913.61,20220501,27053.61
20220502,16202,20220502,14711,20220502,33602.56,20220502,19163.02,20220502,18725.57,20220502,84354.74,20220502,6913.61,20220502,26878.39
20220507,16234,20220507,14730,20220507,34254.9,20220507,19246.15,20220507,18892.25,20220507,85153.44,20220507,6965.49,20220507,27150.22
20220508,16244,20220508,14744,20220508,34286.39,20220508,19231.3,20220508,18808.41,20220508,85523.62,20220508,6980.96,20220508,27442.43
20220509,16255,20220509,14749,20220509,34191.9,20220509,19083.85,20220509,18931.17,20220509,85067.94,20220509,6962.76,20220509,27408.04
20220510,16266,20220510,14751,20220510,34579.03,20220510,19192.71,20220510,18807.41,20220510,85208.77,20220510,6963.67,20220510,27332.3
