date,asamid,asam,agas,ayar,close_overal
12/5/2022,0.00048182,0.008771697,0.00158133,0.014739786,-0.002991267
12/6/2022,0.000603152,-0.008970445,-0.001081767,-0.011195234,-0.002975763
12/7/2022,0.000722461,0.007130155,-0.00294207,-0.009766266,-0.004675294
12/10/2022,0.001624081,-0.012577949,-0.013776868,0.027957328,-0.013703738
12/11/2022,0.000600776,-0.00433956,0.007422538,0.01613626,0.004056621
12/12/2022,0.00054045,0.000802568,0.021402192,0.030219735,0.014287431
12/13/2022,0.000540158,0.018283498,0.036300965,0.008215891,0.031517325
12/14/2022,0.000659664,0.006999211,0.015126249,0.000170917,0.012488982
12/17/2022,0.001737847,-0.004835347,-0.006281372,-0.002587907,-0.001921573
12/18/2022,0.000538574,0.01753064,0.016221519,-0.002852235,0.020409338
12/19/2022,0.000598009,-0.008012967,-0.000585848,-0.010687637,0.000444363
12/20/2022,0.000657338,0.011867279,-0.014759978,0.002471421,-0.005889418
12/21/2022,0.000656906,-0.004949073,0.00240983,-0.005667516,0.002747855
12/24/2022,0.001610903,0.009363244,0.03932885,0.036162264,0.027555857
12/25/2022,0.000656013,0.009339628,0.012216881,0.021402585,0.016485054
12/26/2022,0.000595516,-0.000759157,0.001285771,0.029733221,0.008171731
12/28/2022,0.001249371,0.011765212,0.041700835,0.059085513,0.04400465
12/31/2022,0.001782197,-0.002254228,-0.052784667,-0.103168142,-0.035100783
1/1/2023,0.000593953,-0.018474523,-0.004735605,0.00091725,-0.016565165
1/2/2023,0.000533782,0.012249066,0.026056758,0.029684292,0.018317484
1/3/2023,0.000651883,-0.011100301,-0.008582157,-0.025297616,-0.001212759
1/4/2023,0.00053315,0.016447739,-0.013673535,0.00616305,-0.007720853
1/7/2023,0.001893018,-0.004653804,0.024345196,0.02865649,0.011926959
1/8/2023,0.000531859,0.008536331,0.026232028,0.036066382,0.022991708
1/9/2023,0.000650124,0.008959741,0.001082483,-0.007195705,0.007115277
1/10/2023,0.000590173,-0.009835124,0.007909212,0.002391331,0.012839093
1/11/2023,0.00064873,0.005925112,-0.01837426,0.002463219,-0.009698011
1/14/2023,0.001767287,-0.002428168,0.002389887,0.02677679,-0.005081022
1/16/2023,0.001118314,0.010294665,0.037045785,0.017294262,0.022237302
1/17/2023,0.000587745,0.003756509,-0.003098271,0.04208598,0.003784461
1/18/2023,0.000704721,0.007836935,-0.000417818,0.056319849,0.001241873
1/21/2023,0.001701369,0.010193644,-0.013624229,0.073746747,-0.018867105
1/22/2023,0.000762127,0.004036515,0.009286617,0.089298713,-0.002808703
1/23/2023,0.000527062,0.008203393,0.01158463,-0.074767919,0.000619377
1/24/2023,0.000526784,-0.01714173,-0.01232441,-0.078481685,-0.004784915
