date,close_afran,close_yaghoot,close_goldMofid,close_nahal,close_sahar,close_agas,close_sarv,close_atlas
2022-09-03,17397,15623,35217.15,19928.98,20212.68,83155.68,6808.03,25796.52
2022-09-04,17408,15630,35371.59,19613.3,20101.89,83246.21,6815.31,25840.55
2022-09-05,17417,15637,35030.18,19432.19,19994.1,83349.82,6825.32,25906.45
2022-09-06,17428,15646,35083.02,19288.7,19961.17,82942.42,6787.1,25717.9
2022-09-07,17438,15661,34699.95,19245.16,19893.3,82570.23,6782.55,25643.76
2022-09-10,17467,15678,35238.48,19470.79,20058.98,81733.3,6716.1,25438.12
2022-09-11,17478,15683,35506.74,19140.26,19894.3,81487.85,6752.51,25394.78
2022-09-12,17488,15691,36278.97,18780.03,19647.78,82060.23,6752.51,25448.56
2022-09-13,17497,15699,37169.08,17957.66,19013.01,82229.22,6758.88,25535.42
2022-09-14,17508,15725,36662.05,17891.35,19005.03,81977.74,6786.19,25484.73
2022-09-18,17546,15743,36754.51,18141.73,19396.27,81290.69,6707.91,25253.75
2022-09-19,17556,15748,36115.38,18727.58,20134.83,81227.32,6705.18,25212.5
2022-09-20,17566,15760,36244.43,18892.85,20007.08,80823.95,6683.34,25079.52
2022-09-21,17577,15775,35953.82,17962.61,19222.61,80447.73,6627.82,24907.37
2022-09-24,17609,15788,36292.18,17335.19,18431.14,78829.2,6505.86,24612.98
2022-09-26,17629,15807,36468.99,17491.55,18571.87,79566.54,6581.4,24674.9
2022-09-28,17648,15828,36276.94,17756.77,18823.38,80573.47,6665.14,25050.1
2022-10-01,17679,15845,37994.16,17385.66,18325.35,78528.43,6484.01,24553.84
2022-10-02,17688,15852,38479.86,17497.49,18177.64,78431.86,6447.61,24455.44
2022-10-03,17699,15860,38758.27,17852.76,18421.16,78358.43,6455.8,24447.99
2022-10-04,17710,15888,38626.17,17925.0,18371.26,78532.45,6456.71,24443.52
2022-10-08,17749,15904,37845.81,17930.94,18237.52,78880.5,6496.75,24592.21
2022-10-09,17759,15910,37573.49,18017.04,18546.92,77871.56,6395.73,24272.57
2022-10-10,17770,15920,37622.26,18212.98,18886.26,78082.8,6393.91,24279.23
2022-10-11,17780,15928,38124.22,17748.85,18374.26,78611.92,6474.0,24635.34
2022-10-12,17795,15944,38154.7,17741.92,18262.47,79231.57,6607.79,25206.34
2022-10-15,17821,15958,38047.0,17830.99,18247.5,79118.9,6526.79,24763.16
2022-10-16,17830,15969,38459.53,17959.64,18357.29,78800.03,6458.53,24591.21
2022-10-17,17843,15978,38218.72,17809.22,18230.54,78868.43,6463.99,24662.28
2022-10-18,17852,15984,37858.0,17724.11,18249.5,79091.74,6499.49,24709.69
2022-10-19,17864,16000,37801.1,17682.54,18274.45,79114.88,6476.73,24669.73
2022-10-22,17893,16016,38026.67,17674.63,18345.31,79248.67,6479.46,24654.23
2022-10-23,17904,16023,37898.64,17594.47,18303.39,78884.52,6428.49,24482.78
2022-10-24,17915,16031,37592.8,17260.97,18177.64,77571.79,6341.12,24143.46
2022-10-25,17925,16039,37765.53,16623.65,17787.4,76710.72,6241.0,24018.42
2022-10-26,17935,16058,37991.11,15786.43,17012.9,75019.77,6162.72,23473.27
2022-10-29,17965,16073,38192.3,16786.94,17748.47,75041.9,6151.8,23619.87
2022-10-30,17975,16080,38230.91,17243.15,18250.5,75765.16,6189.12,23839.22
2022-10-31,17985,16089,38745.06,17047.21,17913.15,76907.88,6278.32,24005.4
2022-11-01,17997,16097,39505.1,16860.17,17884.21,77840.38,6366.6,24197.03
2022-11-02,18007,16113,40602.5,16905.69,18214.57,77653.27,6307.44,24104.79
2022-11-05,18037,16129,41267.03,16888.87,18574.87,81186.08,6620.54,25223.14
2022-11-06,18049,16140,40301.73,16833.45,18807.41,82553.13,6695.17,25572.79
2022-11-07,18061,16151,40868.72,16709.75,18836.36,85449.18,6904.51,26330.45
2022-11-08,18073,16158,39912.56,17016.53,18988.06,85527.64,7043.76,26854.83
2022-11-09,18085,16174,39995.88,16714.7,18670.68,85308.35,7000.99,26849.27
2022-11-12,18116,16194,39850.58,16581.1,18356.29,85877.7,7070.16,26884.95
2022-11-13,18129,16204,40075.14,15431.16,18165.66,85163.5,7008.27,26597.41
2022-11-14,18141,16211,40794.54,15690.44,18489.03,84477.46,6971.86,26431.93
2022-11-15,18152,16220,41355.43,15387.61,18458.09,85359.65,6993.7,26599.4
2022-11-16,18165,16234,41096.32,15126.35,18190.61,85644.33,6966.4,26673.74
2022-11-19,18195,16254,40938.83,14719.62,18024.94,83887.99,6848.08,26212.27
2022-11-20,18207,16257,41526.14,14630.55,18217.56,84932.14,6996.44,26480.23
2022-11-21,18218,16267,41596.25,14580.08,18139.71,84467.4,6965.49,26506.47
2022-11-22,18229,16275,41901.08,14247.57,18066.85,84175.68,6953.66,26568.19
2022-11-23,18241,16292,41868.56,13997.2,18054.88,84616.28,6982.78,26607.55
2022-11-26,18273,16314,42477.21,13918.03,18022.94,84428.17,7036.48,26479.14
2022-11-27,18285,16319,43052.32,13961.57,18124.74,84304.44,6950.93,26413.54
2022-11-28,18297,16327,43433.36,13843.81,18387.23,84452.31,6940.01,26533.7
2022-11-29,18309,16332,42789.15,13900.21,18731.56,84658.53,6991.88,26719.96
2022-11-30,18325,16355,43047.24,13873.49,18596.82,84792.31,7013.73,26825.51
