config,population,generations,init_mut,high_mut,base_seed,window_index,best_fitness,generations_run,runtime_s
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,2,0.8111540955188055,35,1.5496837080000034
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,3,0.8265698496226462,50,1.7878066250000018
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,4,0.8177841347643751,42,1.634729207999996
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,5,0.800458856443913,18,1.3889445840000008
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,6,0.8191866699578703,22,1.4848694999999879
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,7,0.8156937147589101,41,1.7230142500000056
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,8,0.8103934630925724,21,1.4151902090000021
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,9,0.9,18,1.3869733749999966
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,10,0.9,18,1.3799900829999956
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,11,0.8477183982390635,47,1.9177339170000067
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,12,0.8691799894392824,25,1.5490734999999916
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,13,0.8138427209442209,44,1.5431645000000032
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,14,0.830325702447589,37,1.6292027909999973
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,15,0.8272054853094294,44,1.706317042000009
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,16,0.9,18,1.351476040999998
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,17,0.9,18,1.403019209000007
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,18,0.841698499683693,35,1.6434390419999971
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,19,0.8584382833659913,28,1.584583749999993
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,20,0.8009785903372469,41,1.7992109169999964
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,21,0.8008454755032866,27,1.5645193750000033
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,22,0.8,18,1.3788089170000148
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,23,0.8415756610463528,50,1.76400370799999
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,24,0.8386362044166409,42,1.535040500000008
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,25,0.851668246671124,26,1.3978805829999885
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,26,0.9,18,1.3907094170000107
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,27,0.8421211001441137,50,1.8596317090000127
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,28,0.8277986462241227,24,1.5134595830000137
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,29,0.855127008440279,27,1.5419248340000138
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,30,0.816914745207934,44,1.694560832999997
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,31,0.8039687979024829,18,1.3797740420000082
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,32,0.8,18,1.3891874999999914
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,33,0.8216890373307867,36,1.5584748329999911
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,34,0.8175124756890504,35,1.564616166999997
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,1,35,0.8412945865929614,18,1.4054348749999974
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,0,0.9,18,1.3729153750000194
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,1,0.9,18,1.417942499999981
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,2,0.8051082934987105,50,1.5958216669999956
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,3,0.8268323018130767,50,1.7173935000000142
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,4,0.8181028058127182,30,1.5381926670000041
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,5,0.8010579470892208,39,1.5923100839999904
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,6,0.8184937279642609,27,1.5384830000000136
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,7,0.8161933706706935,30,1.6715797080000243
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,8,0.8114609128373111,18,1.3726975829999901
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,9,0.9,18,1.4016999579999947
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,10,0.9,18,1.3588227909999944
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,11,0.8473393825262325,27,1.575631125000001
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,12,0.8694061345488534,50,1.9451245829999948
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,13,0.8166104003756389,32,1.4115702499999827
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,14,0.8306092742657372,42,1.696920499999976
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,15,0.8268523037449583,50,1.8357202500000085
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,16,0.9,18,1.4995935420000137
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,17,0.9,18,1.4266223749999938
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,18,0.8420678433765824,26,1.5105192080000052
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,19,0.8567868205235419,48,1.7817073749999963
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,20,0.8007249277675242,33,1.6531279170000062
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,21,0.8,18,1.3657645000000116
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,22,0.801220519570264,31,1.573731458000026
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,23,0.8416168621957946,50,1.655040917000008
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,24,0.8456923746546485,40,1.511350708000009
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,25,0.8479591349834583,50,1.7282869169999913
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,26,0.9,18,1.4096033750000174
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,27,0.8415652841309551,50,1.819029999999998
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,28,0.8264356661393372,40,1.6362270000000194
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,29,0.8552867519527881,44,1.7807823750000011
